,Observation ID,Camera,Exposure Identifier,Exposure Time,l,b,Target,Target Type
84,0400460401,MOS1,S003,16.4,6.2,-38.3,HD 197890,STAR K0V
85,0762950101,PN,S003,16.4,20.9,38.0,PSZ1G020.72+38.01,CLUSTER OF GALAXIES (NON-ABELL)
86,0307001901,PN,S003,16.4,329.1,-7.1,ESO 137-G34,SEYFERT RADIO QUIET TYPE 2
87,0765000301,MOS2,S002,16.4,17.8,-39.6,A3733,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
88,0674490401,PN,S003,16.3,341.2,-36.1,SPT-CLJ2032-5627,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
89,0400460401,MOS2,S004,16.1,6.2,-38.3,HD 197890,STAR K0V
90,0765000301,MOS1,S001,15.9,17.8,-39.6,A3733,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
91,0673420101,MOS1,S001,15.9,327.4,-15.8,LSQ 172554.8-643839,CV AM HER (POLAR) ECLIPSING
92,0301880901,MOS2,S002,15.9,29.1,1.5,G28.8+1.5,SNR
93,0760290301,MOS2,S002,15.7,315.7,-0.7,Alpha Cen,STAR G2V
94,0301880901,MOS1,S001,15.5,29.1,1.5,G28.8+1.5,SNR
95,0692933801,MOS1,S001,15.5,347.2,-27.4,PLCKESZG347.18-27.35,CLUSTER OF GALAXIES (NON-ABELL)
96,0305590401,PN,S003,15.4,38.2,-7.7,176B,UNIDENTIFIED
97,0720174001,PN,S003,15.4,38.3,-7.3,CoRoT 2a,STAR G7V
98,0720173401,PN,S003,15.3,38.3,-7.3,CoRoT 2a,STAR G7V
99,0201730301,MOS2,S002,15.1,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
100,0304200401,MOS1,S001,15.1,329.8,3.4,HD 330075,STAR G0V
101,0720280101,PN,S003,15.1,326.1,17.4,IG RJ14488-4008,SEYFERT RADIO QUIET TYPE 1
102,0653050301,PN,S009,14.9,341.1,-32.9,Abell 3667 NW Shock,CLUSTER OF GALAXIES ABELL CLASS 0
103,0410580101,MOS2,S003,14.9,43.0,0.8,SGR 1900+14,X-RAY BINARY
104,0410580101,MOS1,S002,14.9,43.0,0.8,SGR 1900+14,X-RAY BINARY
105,0724770201,PN,S003,14.9,341.0,-35.9,SPT-CL-J2031-5638,CLUSTER OF GALAXIES (NON-ABELL)
106,0410581901,MOS2,S003,14.8,327.2,-0.1,1E 1547.0-5408,ANOMALOUS X-RAY PULSAR
107,0021750501,PN,S006,14.8,321.5,-15.3,AlphaTrA,STAR K2II
108,0653050601,PN,S009,14.7,341.4,-33.1,Abell 3667 NW Shock,CLUSTER OF GALAXIES ABELL CLASS 0
109,0153190101,MOS1,U002,14.7,353.8,7.3,X1658-298,LMXRB BURSTER ECLIPSING DIPPER
110,0692932401,MOS2,S003,14.6,0.4,-41.9,PLCKESZG000.44-41.83,CLUSTER OF GALAXIES (NON-ABELL)
111,0652010301,PN,S003,14.5,22.2,-38.8,RXCJ2102.1-2431,CLUSTER OF GALAXIES (NON-ABELL)
112,0307001101,MOS1,S001,14.5,326.8,25.2,IRAS 14317-3237,SEYFERT RADIO QUIET TYPE 2
113,0674490601,MOS1,S001,14.5,332.9,-34.1,SPT-CLJ2022-6324,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
114,0760290301,MOS1,S001,14.4,315.7,-0.7,Alpha Cen,STAR G2V
115,0203020201,MOS2,S002,14.3,7.7,-36.9,ABELL 3705,CLUSTER OF GALAXIES ABELL CLASS 2
116,0136030201,MOS1,S009,14.2,38.6,-0.0,G38.55+0.0,SNR SHELL
117,0201730201,PN,S003,14.0,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
118,0085180501,MOS1,S001,14.0,35.7,-4.1,Aql X-1,UNCLASSIFIED
119,0720174101,PN,S003,13.9,38.3,-7.3,CoRoT 2a,STAR G7V
120,0691250401,MOS2,S002,13.9,332.2,-21.8,AM 1827-625,STARBURST GALAXY
121,0553640201,PN,U002,13.8,40.4,-1.0,MGRO 1908+06,UNIDENTIFIED
122,0150190201,MOS2,S002,13.8,339.9,-31.3,V393 Pav,CV AM HER (POLAR)
123,0691320701,MOS2,S002,13.7,17.9,-34.3,BZBJ2038-2636,BL LAC RADIO LOUD FLAT RADIO SP
124,0720581101,PN,S003,13.7,315.7,-0.7,alpha Cen,STAR G2V
125,0067340601,MOS2,S002,13.6,20.0,40.0,Field VI,X-RAY BACKGROUND
126,0085200401,MOS2,S005,13.5,41.1,-0.3,3C397,SNR
127,0067340601,MOS1,S001,13.4,20.0,40.0,Field VI,X-RAY BACKGROUND
128,0136030201,MOS2,S010,13.4,38.6,-0.0,G38.55+0.0,SNR SHELL
129,0765000301,PN,S003,13.4,17.8,-39.6,A3733,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
130,0406140201,PN,S003,13.3,29.8,-0.7,IGR J18483-0311,UNIDENTIFIED
131,0679180201,MOS1,S002,13.3,352.1,-24.0,PLCK G352.1-24.0,CLUSTER OF GALAXIES
132,0067340401,MOS2,S002,13.3,25.0,20.0,Field IV,X-RAY BACKGROUND
133,0402780501,MOS1,S001,13.2,12.8,39.1,J155855.79+024833.9,RADIO GALAXY RADIO LOUD TYPE 1
134,0741891801,PN,S001,13.1,29.7,10.7,NPS 18,X-RAY BACKGROUND
135,0742820101,PN,U002,13.1,38.0,-0.1,2FGL J1901.1+0427,GAMMA RAY SOURCE
136,0673540501,MOS2,S002,13.0,335.7,8.5,HD 142527,HERBIG AE/BE STAR
137,0405390401,MOS1,S002,12.9,323.4,-1.7,IGRJ15359-5750,UNIDENTIFIED
138,0670380401,MOS2,U002,12.9,5.2,-30.9,Gl 783,STAR K2V
139,0741700301,PN,S003,12.8,315.7,-0.7,alpha Cen,STAR G2V
140,0692930101,PN,S003,12.8,345.5,-39.3,PLCKESZG345.40-39.34,CLUSTER OF GALAXIES (NON-ABELL)
141,0690210101,MOS2,S002,12.7,318.9,9.2,HD 127381,STAR B1V
142,0744940101,PN,S003,12.6,40.5,-19.0,WASP-80,STAR K0
143,0655380901,PN,S003,12.6,10.0,41.5,NGC5990,SEYFERT RADIO QUIET TYPE 2
144,0673420101,PN,S003,12.4,327.4,-15.8,LSQ 172554.8-643839,CV AM HER (POLAR) ECLIPSING
145,0306050901,MOS1,S001,12.3,342.0,36.3,NGC5793,UNDEFINED
146,0762800401,MOS2,S002,12.1,4.0,-42.0,G003.95-42.01,CLUSTER OF GALAXIES ABELL CLASS >2
147,0677181901,MOS1,S001,12.1,8.4,25.9,RXCJ1633.8-0738,CLUSTER OF GALAXIES ABELL CLASS 1
148,0202611401,MOS2,S002,12.0,315.7,-0.7,ALPHA CEN,STAR G2V
149,0654550801,PN,S003,11.9,315.7,-0.7,alpha Cen,STAR G2V
150,0067340501,MOS1,S001,11.9,20.0,30.0,Field V,X-RAY BACKGROUND
151,0301880901,PN,S003,11.8,29.1,1.5,G28.8+1.5,SNR
152,0202611401,MOS1,S001,11.6,315.7,-0.7,ALPHA CEN,STAR G2V
153,0692830301,PN,S003,11.4,328.2,4.8,2FGL J1536.4-4949,GAMMA RAY SOURCE
154,0205920401,MOS2,S002,11.4,350.4,-32.6,PKS 2005-489,BL LAC RADIO LOUD FLAT RADIO SP
155,0081340601,MOS2,S002,11.3,22.2,19.4,IRAS17208-00,IR GALAXY
156,0112440401,MOS2,S002,11.3,35.7,-4.1,Aql X-1,LMXRB QPO AND PULSAR SOFT TRANSIENT
157,0741892201,MOS2,S003,11.2,28.8,7.4,NPS 7,X-RAY BACKGROUND
158,0112440401,MOS1,S001,11.2,35.7,-4.1,Aql X-1,LMXRB QPO AND PULSAR SOFT TRANSIENT
159,0720340601,MOS1,S001,11.2,337.8,-32.0,NU Pav,STAR M6III
160,0722160501,MOS1,U002,11.1,13.0,-35.4,ASASSN-15oi,SUPERMASSIVE BLACK HOLE
161,0306170201,MOS2,S002,11.0,32.7,0.5,IGR J18490-0000,UNIDENTIFIED
162,0783012401,PN,S003,11.0,43.5,-9.6,NO Aql,STAR M4III
163,0720340601,MOS2,S002,10.9,337.8,-32.0,NU Pav,STAR M6III
164,0651281101,MOS1,S001,10.8,24.4,-17.8,PKS 1938-15,RADIO GALAXY RADIO LOUD STEEP RADIO SP
165,0085680601,MOS1,S002,10.8,338.9,-4.3,GX 339-4,LMXRB GLOBULAR CLUSTER BLACK HOLE
166,0205920401,MOS1,S001,10.7,350.4,-32.6,PKS 2005-489,BL LAC RADIO LOUD FLAT RADIO SP
167,0785130301,MOS1,S001,10.5,349.3,24.1,HD 142097,STAR A5V
168,0410580101,PN,S001,10.3,43.0,0.8,SGR 1900+14,X-RAY BINARY
169,0765000101,MOS1,S001,10.3,346.4,-41.4,RXCJ2104.9-5149,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
170,0690170701,MOS1,S001,10.2,0.7,-35.7,RXCJ2031.8-4037,CLUSTER OF GALAXIES ABELL CLASS 2
171,0650383001,MOS1,S001,10.2,6.3,27.1,MACSJ1625-08,CLUSTER OF GALAXIES (NON-ABELL)
172,0741892201,MOS1,S002,10.2,28.8,7.4,NPS 7,X-RAY BACKGROUND
173,0785130301,MOS2,S002,10.1,349.3,24.1,HD 142097,STAR A5V
174,0201730101,MOS2,S002,10.1,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
175,0651281201,PN,S003,10.0,12.2,37.0,PKS 1602+01,RADIO GALAXY RADIO LOUD STEEP RADIO SP
176,0721910701,MOS2,S002,10.0,328.6,-17.9,PGC 60849,IRREGULAR GALAXY
177,0201730101,MOS1,S001,10.0,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
178,0654470501,MOS2,S002,10.0,332.2,23.9,Cen X-4,LMXRB BURSTER SOFT TRANSIENT
179,0652660201,MOS1,S001,9.9,337.2,-18.1,ESO182-007,ELLIPTICAL GALAXY
180,0692933801,PN,S003,9.9,347.2,-27.4,PLCKESZG347.18-27.35,CLUSTER OF GALAXIES (NON-ABELL)
181,0065820501,MOS2,S008,9.9,31.6,5.3,Serpens exposure 1,STAR FORMING REGION
182,0721830701,MOS1,S001,9.8,27.1,32.9,J164313.8+095417,GALAXY
183,0690210101,PN,S003,9.8,318.9,9.2,HD 127381,STAR B1V
184,0301880401,MOS2,S002,9.8,27.8,0.6,G27.8+0.6,SNR
185,0679180101,PN,S001,9.7,348.4,-25.5,PLCK G348.4-25.5,CLUSTER OF GALAXIES
186,0784770401,MOS1,S001,9.7,10.7,30.7,PSR J1622-03,RADIO PULSAR
187,0690210401,MOS2,S002,9.7,10.7,-19.0,HD182180,STAR B2V
188,0721830701,MOS2,S002,9.7,27.1,32.9,J164313.8+095417,GALAXY
189,0674330501,MOS1,S001,9.7,329.9,20.5,PKS 1454-354,BL LAC RADIO LOUD/FLAT SPECT FLAT RADIO SP
190,0201730301,PN,S003,9.6,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
191,0021750401,MOS1,S004,9.6,321.5,-15.3,AlphaTrA,STAR K2II
192,0744390401,PN,S003,9.5,340.2,-33.2,RXCJ2011.3-5725,CLUSTER OF GALAXIES (NON-ABELL)
193,0306050901,PN,S003,9.4,342.0,36.3,NGC5793,UNDEFINED
194,0044350501,MOS2,S002,9.4,31.4,-22.0,IRAS20051-1117,SEYFERT
195,0652350301,MOS1,S001,9.4,338.4,16.6,Sz 67,T TAURI STAR
196,0722250201,MOS1,S001,9.1,37.8,1.2,2FGL J1856.2+0450c,GAMMA RAY SOURCE PULSAR
197,0081340601,MOS1,S001,9.1,22.2,19.4,IRAS17208-00,IR GALAXY
198,0691030601,MOS1,S001,9.1,20.6,10.1,Y Oph,STAR K0V
199,0110011401,MOS1,S003,9.1,315.4,-2.1,RCW 86 (NW),OB ASSOCIATION/HII REGION
200,0302970801,PN,S003,9.0,30.3,-0.5,SB-1,CLOUD
201,0301880401,MOS1,S001,9.0,27.8,0.6,G27.8+0.6,SNR
202,0677181801,MOS1,S001,9.0,329.0,29.2,RXCJ1435.0-2821,CLUSTER OF GALAXIES ABELL CLASS 1
203,0021750101,MOS1,S004,8.9,321.5,-15.3,AlphaTrA,STAR K2II
204,0044350501,MOS1,S001,8.9,31.4,-22.0,IRAS20051-1117,SEYFERT
205,0044741401,MOS2,S005,8.8,29.9,11.4,70 Oph,STAR K0V
206,0051940401,MOS1,S001,8.8,19.8,-0.3,XGPS_004,EXTENDED GALACTIC OR EXTRAGALACTIC
207,0654470501,MOS1,S001,8.7,332.2,23.9,Cen X-4,LMXRB BURSTER SOFT TRANSIENT
208,0762800401,PN,S003,8.2,4.0,-42.0,G003.95-42.01,CLUSTER OF GALAXIES ABELL CLASS >2
209,0679181501,PN,S001,8.2,329.5,-22.7,PLCK G329.5-22.7,CLUSTER OF GALAXIES
210,0741581601,MOS1,S001,8.1,21.4,-40.1,ABELL 3744,GROUP OF GALAXIES
211,0658200301,PN,S002,8.1,19.1,31.2,PLCK G019.1+31.2,CLUSTER OF GALAXIES
212,0109130601,MOS2,S003,8.0,329.8,-23.2,ESO103-G35,SEYFERT TYPE 2
213,0679180201,PN,S001,8.0,352.1,-24.0,PLCK G352.1-24.0,CLUSTER OF GALAXIES
214,0550120301,MOS1,U002,8.0,338.9,14.5,GQ Lup,T TAURI STAR
215,0051940501,MOS1,S001,8.0,20.2,0.3,XGPS_005,EXTENDED GALACTIC OR EXTRAGALACTIC
216,0303180101,MOS2,S002,8.0,340.7,26.8,GW Lib,CV DWARF NOVA SU UMA TYPE
217,0602731101,MOS1,S001,8.0,1.3,21.0,RNO 90,T TAURI STAR
218,0085280201,MOS2,S002,7.9,18.4,16.0,NGC6366,LMXRB GLOBULAR CLUSTER
219,0200430601,MOS2,S002,7.9,345.9,-34.5,IC4995,SEYFERT RADIO QUIET TYPE 2
220,0721910701,PN,S003,7.8,328.6,-17.9,PGC 60849,IRREGULAR GALAXY
221,0652350601,PN,S003,7.7,343.2,14.8,RXJ1603.2-3239,T TAURI STAR
222,0741581601,MOS2,S002,7.7,21.4,-40.1,ABELL 3744,GROUP OF GALAXIES
223,0690170701,PN,S003,7.6,0.7,-35.7,RXCJ2031.8-4037,CLUSTER OF GALAXIES ABELL CLASS 2
224,0722250201,PN,U002,7.4,37.8,1.2,2FGL J1856.2+0450c,GAMMA RAY SOURCE PULSAR
225,0044740101,MOS2,S005,7.4,29.9,11.4,70 Oph,STAR K0V
226,0211080201,MOS2,S002,7.4,38.6,-10.0,SA111-1925,STAR A0
227,0303180101,MOS1,S001,7.3,340.7,26.8,GW Lib,CV DWARF NOVA SU UMA TYPE
228,0742520201,MOS1,S001,7.3,42.3,3.1,PSR J1857+0943,RADIO PULSAR
229,0211080201,MOS1,S001,7.3,38.6,-10.0,SA111-1925,STAR A0
230,0201500201,MOS2,S002,7.3,32.3,-1.0,AX J1853.5-0103,X-RAY PULSATOR
231,0203020201,PN,U002,7.3,7.7,-36.9,ABELL 3705,CLUSTER OF GALAXIES ABELL CLASS 2
232,0051940101,MOS1,S001,7.2,19.4,0.3,XGPS_001,EXTENDED GALACTIC OR EXTRAGALACTIC
233,0721830701,PN,S003,7.2,27.1,32.9,J164313.8+095417,GALAXY
234,0406750201,MOS1,S001,7.2,333.8,0.1,AX J1621.9-4939,UNIDENTIFIED
235,0306171201,MOS1,S001,7.2,335.7,-5.5,IGR J16558-5203,SEYFERT TYPE 1
236,0652350501,MOS1,S001,7.1,337.4,9.6,RY Lup,T TAURI STAR
237,0109463301,MOS1,S001,7.0,1.3,-33.9,RX J2022-39,CV AM HER (POLAR)
238,0051940201,MOS2,S002,7.0,19.4,-0.3,XGPS_002,UNDEFINED
239,0135745701,MOS1,S001,7.0,21.4,0.3,XGPS_012,EXTENDED GALACTIC OR EXTRAGALACTIC
240,0691030601,PN,S003,6.9,20.6,10.1,Y Oph,STAR K0V
241,0780070501,MOS1,S001,6.9,319.5,-4.8,WR69,WOLF RAYET STAR WC9-11
242,0679990701,MOS1,S002,6.8,359.9,-17.8,Coronet Cluster,STAR FORMING REGION
243,0112440301,MOS1,S001,6.7,35.7,-4.1,Aql X-1,LMXRB QPO AND PULSAR SOFT TRANSIENT
244,0021750101,PN,S006,6.6,321.5,-15.3,AlphaTrA,STAR K2II
245,0300810301,MOS2,S002,6.6,341.5,-27.8,NGC 6799,ELLIPTICAL GALAXY
246,0652350301,PN,S003,6.6,338.4,16.6,Sz 67,T TAURI STAR
247,0101640601,MOS2,S003,6.5,20.7,27.3,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
248,0722160701,PN,S001,6.5,13.0,-35.4,ASASSN-15oi,SUPERMASSIVE BLACK HOLE
249,0744250301,MOS1,S001,6.5,40.1,15.5,MAXI J1807+132,SUPERMASSIVE BLACK HOLE
250,0550120301,PN,U002,6.4,338.9,14.5,GQ Lup,T TAURI STAR
251,0044350501,PN,S003,6.4,31.4,-22.0,IRAS20051-1117,SEYFERT
252,0677181801,PN,S003,6.4,329.0,29.2,RXCJ1435.0-2821,CLUSTER OF GALAXIES ABELL CLASS 1
253,0067340401,PN,S003,6.3,25.0,20.0,Field IV,X-RAY BACKGROUND
254,0152630301,MOS2,S002,6.3,345.0,24.0,SXRB_3,X-RAY BACKGROUND
255,0200020201,MOS1,S001,6.3,357.6,-43.8,LBQS 2111-4335,QSO
256,0202890101,MOS1,S001,6.3,352.1,32.5,HP LIB,CV AM HER (POLAR)
257,0135740701,MOS2,S002,6.2,20.6,0.3,XGPS_007,EXTENDED GALACTIC OR EXTRAGALACTIC
258,0674490301,MOS2,S002,6.2,341.0,-35.9,SPT-CLJ2031-5638,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
259,0765000101,PN,S003,6.2,346.4,-41.4,RXCJ2104.9-5149,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
260,0743520201,MOS2,U002,6.1,35.7,-4.1,Aql X-1,LMXRB
261,0164561201,PN,S003,6.1,36.7,4.9,IGR J18410-0535,HMXRB SUPERGIANT
262,0203910101,MOS2,S002,6.1,327.2,-0.1,AX J155052-5418,X-RAY PULSATOR
263,0673540801,MOS2,S002,6.1,349.9,23.5,HD 142666,HERBIG AE/BE STAR
264,0785131401,MOS2,S002,6.0,349.3,24.1,HD 142097,STAR A5V
265,0650383101,MOS1,S001,6.0,18.9,28.7,MACSJ1644+01,CLUSTER OF GALAXIES (NON-ABELL)
266,0044741401,PN,S002,5.9,29.9,11.4,70 Oph,STAR K0V
267,0085200501,MOS1,U002,5.9,41.1,-0.3,3C397,SNR
268,0651281101,PN,S003,5.8,24.4,-17.8,PKS 1938-15,RADIO GALAXY RADIO LOUD STEEP RADIO SP
269,0791580301,MOS2,S003,5.8,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
270,0674490301,MOS1,S001,5.8,341.0,-35.9,SPT-CLJ2031-5638,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
271,0677181901,PN,S003,5.7,8.4,25.9,RXCJ1633.8-0738,CLUSTER OF GALAXIES ABELL CLASS 1
272,0652660201,PN,S003,5.6,337.2,-18.1,ESO182-007,ELLIPTICAL GALAXY
273,0741580801,PN,S003,5.5,17.8,-39.6,ABELL 3733,GROUP OF GALAXIES
274,0140950101,PN,S003,5.5,321.4,15.0,NGC5643,SEYFERT RADIO QUIET TYPE 2
275,0067340501,PN,S003,5.5,20.0,30.0,Field V,X-RAY BACKGROUND
276,0203910201,MOS2,S002,5.4,31.3,-0.1,AX J184848-0129,X-RAY PULSATOR
277,0690210401,PN,S003,5.4,10.7,-19.0,HD182180,STAR B2V
278,0551022901,PN,S003,5.4,331.5,-23.5,SCR J1845-6357,STAR M8V
279,0110011401,PN,S005,5.2,315.4,-2.1,RCW 86 (NW),OB ASSOCIATION/HII REGION
280,0741581601,PN,S003,5.2,21.4,-40.1,ABELL 3744,GROUP OF GALAXIES
281,0679990901,PN,S001,5.2,359.9,-17.8,Coronet Cluster,STAR FORMING REGION
282,0135745701,PN,S003,5.1,21.4,0.3,XGPS_012,EXTENDED GALACTIC OR EXTRAGALACTIC
283,0742520201,PN,S003,5.0,42.3,3.1,PSR J1857+0943,RADIO PULSAR
284,0085280201,PN,S003,4.9,18.4,16.0,NGC6366,LMXRB GLOBULAR CLUSTER
285,0654470401,PN,S003,4.9,332.2,23.9,Cen X-4,LMXRB BURSTER SOFT TRANSIENT
286,0692210301,PN,S003,4.8,36.6,-0.9,PSR J1901+0254,RADIO PULSAR
287,0304960101,MOS1,U002,4.7,352.6,20.2,PSR J1614-2230,RADIO PULSAR
288,0784771001,PN,S003,4.7,343.9,-29.6,PSR J1946-54,RADIO PULSAR
289,0044740101,PN,S002,4.7,29.9,11.4,70 Oph,STAR K0V
290,0044350201,MOS2,U002,4.6,31.4,-22.0,IRAS20051-1117,SEYFERT
291,0690210201,PN,S003,4.5,329.2,10.3,HD136504,STAR B2V
292,0200430601,PN,S003,4.5,345.9,-34.5,IC4995,SEYFERT RADIO QUIET TYPE 2
293,0111090601,PN,S003,4.5,327.6,14.4,SN 1006 SE,SNR
294,0203910101,PN,S003,4.5,327.2,-0.1,AX J155052-5418,X-RAY PULSATOR
295,0051940501,PN,S003,4.4,20.2,0.3,XGPS_005,EXTENDED GALACTIC OR EXTRAGALACTIC
296,0742340301,PN,S003,4.4,348.1,21.2,HD 142990,STAR B5V
297,0300240901,MOS2,S002,4.4,333.2,-23.1,Fairall 51,SEYFERT TYPE 1
298,0679380601,PN,S003,4.3,349.3,-25.0,XMMSL1 J192252.3-483,STAR K0
299,0306171201,PN,S003,4.2,335.7,-5.5,IGR J16558-5203,SEYFERT TYPE 1
300,0051940101,PN,U002,4.2,19.4,0.3,XGPS_001,EXTENDED GALACTIC OR EXTRAGALACTIC
301,0147420401,PN,S002,4.2,20.7,27.3,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
302,0303180101,PN,S003,4.2,340.7,26.8,GW Lib,CV DWARF NOVA SU UMA TYPE
303,0200020201,PN,S003,4.1,357.6,-43.8,LBQS 2111-4335,QSO
304,0650383101,PN,S003,4.1,18.9,28.7,MACSJ1644+01,CLUSTER OF GALAXIES (NON-ABELL)
305,0109463301,PN,S003,4.0,1.3,-33.9,RX J2022-39,CV AM HER (POLAR)
306,0679990701,PN,S001,3.9,359.9,-17.8,Coronet Cluster,STAR FORMING REGION
307,0679990801,PN,S001,3.6,359.9,-17.8,Coronet Cluster,STAR FORMING REGION
308,0203910201,PN,S003,3.5,31.3,-0.1,AX J184848-0129,X-RAY PULSATOR
309,0081340501,PN,S003,3.4,358.8,-32.4,IRAS20100-41,IR GALAXY
310,0204190101,PN,U002,3.4,341.2,38.6,PMN J1451-1512,QSO RADIO LOUD/POLARISED FLAT RADIO SP
311,0301880401,PN,S003,3.1,27.8,0.6,G27.8+0.6,SNR
312,0135745201,PN,S003,2.7,21.2,-0.0,XGPS_011,EXTENDED GALACTIC OR EXTRAGALACTIC
313,0135740701,PN,S003,2.7,20.6,0.3,XGPS_007,EXTENDED GALACTIC OR EXTRAGALACTIC
314,0101640601,PN,S001,2.6,20.7,27.3,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
315,0202890101,PN,S003,2.6,352.1,32.5,HP LIB,CV AM HER (POLAR)
316,0741892201,PN,S001,2.5,28.8,7.4,NPS 7,X-RAY BACKGROUND
317,0675230301,PN,S003,2.0,26.7,19.7,DENIJ1730,CV AM HER (POLAR)
318,0081340401,PN,S003,2.0,358.6,-40.8,IRAS20551-42,IR GALAXY
319,0085200501,PN,U002,1.9,41.1,-0.3,3C397,SNR
320,0304960101,PN,S011,1.8,352.6,20.2,PSR J1614-2230,RADIO PULSAR
321,0300810301,PN,S003,1.3,341.5,-27.8,NGC 6799,ELLIPTICAL GALAXY
322,0743020201,MOS1,S001,59.7,23.2,-0.3,Swift J1834.9-0846,GAMMA RAY BURSTS SOFT REPEATER
323,0743020201,PN,S003,43.9,23.2,-0.3,Swift J1834.9-0846,GAMMA RAY BURSTS SOFT REPEATER
324,0109060201,MOS1,S002,46.0,352.2,20.0,Sco Cen field,OB ASSOCIATION/HII REGION
325,0109060201,MOS2,S003,45.1,352.2,20.0,Sco Cen field,OB ASSOCIATION/HII REGION
326,0109060201,PN,S004,38.8,352.2,20.0,Sco Cen field,OB ASSOCIATION/HII REGION
327,0501580101,MOS1,S001,82.1,10.4,11.2,PDS 456,QSO RADIO QUIET
328,0672401340,PN,S003,3.2,14.6,8.7,Fermi Bubble 1,CLUSTER OF GALAXIES
329,0412600201,MOS1,S001,23.3,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
330,0412600201,MOS2,S002,6.7,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
331,0784050101,PN,S002,19.8,359.7,-19.6,PSR J1909-3744,RADIO PULSAR
332,0740970101,MOS1,S001,83.7,330.5,4.3,PSRJ1549-4848,RADIO PULSAR
333,0782430201,MOS1,S002,53.6,339.7,-25.1,NGC6753,SPIRAL GALAXY
334,0782430201,PN,S004,25.6,339.7,-25.1,NGC6753,SPIRAL GALAXY
335,0112460201,MOS2,S002,16.0,345.0,2.5,GRO J1655-40,LMXRB
336,0112460201,PN,S003,10.0,345.0,2.5,GRO J1655-40,LMXRB
337,0727761001,MOS1,S002,63.6,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
338,0761090301,MOS1,S001,108.0,351.3,17.0,sigma Sco,STAR B2III
339,0761090301,MOS2,S002,107.4,351.3,17.0,sigma Sco,STAR B2III
340,0761090301,PN,S003,95.2,351.3,17.0,sigma Sco,STAR B2III
341,0690580101,MOS1,U002,103.9,329.6,-9.4,ESO 138-G1,SEYFERT RADIO QUIET TYPE 2
342,0690580101,PN,U006,6.9,329.6,-9.4,ESO 138-G1,SEYFERT RADIO QUIET TYPE 2
343,0412600101,MOS1,S001,65.1,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
344,0412600101,MOS2,S002,65.4,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
345,0203040501,MOS1,S001,17.7,358.3,-5.2,FIELD III FOREGROUND,DIFFUSE X-RAY EMISSION
346,0203040501,MOS2,S002,18.7,358.3,-5.2,FIELD III FOREGROUND,DIFFUSE X-RAY EMISSION
347,0203040501,PN,S003,11.4,358.3,-5.2,FIELD III FOREGROUND,DIFFUSE X-RAY EMISSION
348,0727760301,MOS1,S002,66.7,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
349,0727760301,MOS2,S003,67.9,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
350,0552002601,PN,S003,15.4,356.8,4.7,XTE J1719-291,"LMXRB QPO, PULSAR AND BURSTS SOFT TRANSIENT"
351,0164560601,MOS1,S002,22.7,10.7,-0.2,XTE J1810-197,ANOMALOUS X-RAY PULSAR
352,0164560601,MOS2,S003,22.6,10.7,-0.2,XTE J1810-197,ANOMALOUS X-RAY PULSAR
353,0401660101,MOS1,S001,32.9,6.6,7.8,V2487 Oph,CV CLASSICAL NOVA
354,0672400142,MOS1,S001,7.2,13.5,7.4,Fermi Bubble 2,CLUSTER OF GALAXIES
355,0672400142,PN,S003,5.9,13.5,7.4,Fermi Bubble 2,CLUSTER OF GALAXIES
356,0204580401,MOS1,S001,20.2,12.2,-5.7,PKS 1830-211,QSO RADIO LOUD/POLARISED
357,0204580401,MOS2,S002,20.8,12.2,-5.7,PKS 1830-211,QSO RADIO LOUD/POLARISED
358,0204580401,PN,S003,12.5,12.2,-5.7,PKS 1830-211,QSO RADIO LOUD/POLARISED
359,0561580301,MOS1,S002,36.2,357.7,21.9,U Sco,CV RECURRENT NOVA ECLIPSING
